Text,Label
Charter Communications,company
SAP,company
Tokio Marine Holdings,company
CK Hutchison,company
Honeywell International,company
China Evergrande Group,company
American International Group,company
Orange,company
América Móvil,company
Abbott Laboratories,company
Bank of New York Mellon,company
Credit Suisse Group,company
Capital One Financial,company
Amgen,company
Truist Financial,company
ANZ,company
Equinor,company
Mitsui,company
Oversea-Chinese Banking,company
China Shenhua Energy,company
Exelon,company
PTT,company
State Bank of India,company
Poly Developments & Holdings Group,company
Lowe's,company
China Telecom,company
Southern Company,company
L'Oréal,company
BlackRock,company
Linde,company
Canadian Imperial Bank,company
NextEra Energy,company
Barclays,company
Deere & Company,company
Union Pacific,company
Thermo Fisher Scientific,company
Deutsche Post,company
Gilead Sciences,company
Phillips 66,company
Mondelez International,company
Hyundai Motor,company
Qatar National Bank,company
NAB - National Australia Bank,company
Broadcom,company
Legal & General Group,company
ING Group,company
3M,company
Target,company
Marathon Petroleum,company
Hitachi,company
Progressive,company
DBS,company
ConocoPhillips,company
UniCredit,company
Philip Morris International,company
China Railway Group,company
Accenture,company
Munich Re,company
Royal Bank of Scotland,company
Banco do Brasil,company
McDonald's,company
China Resources Land,company
China Railway Construction,company
Saudi Basic Industries,company
Aviva,company
General Dynamics,company
MS&AD Insurance,company
PICC,company
Aflac,company
E.ON,company
Travelers,company
Prudential,company
Eli Lilly,company
Kraft Heinz Company,company
Sunac China Holdings,company
Charles Schwab,company
HCA Healthcare,company
Danaher,company
Schneider Electric,company
Société Générale,company
Midea Group,company
Dai-ichi Life Insurance,company
ENGIE,company
Fiat Chrysler Automobiles,company
Volvo Group,company
Seven & I Holdings,company
Humana,company
Longfor Group Holdings,company
AstraZeneca,company
JD.com,company
Air Liquide,company
Fresenius,company
Northrop Grumman,company
Mizuho Financial,company
Sun Life Financial,company
Inditex,company
Nike,company
Gree Electric Appliances,company
Central Japan Railway,company
Danone,company
PayPal,company
Cathay Financial,company
Surgutneftegas,company
Suncor Energy,company
Standard Chartered,company
Tesco,company
ICICI Bank,company
Panasonic,company
Safran,company
Qualcomm,company
Royal Ahold Delhaize N.V.,company
KBC Group,company
East Japan Railway,company
National Grid,company
Delta Air Lines,company
Peugeot,company
Telefónica,company
Kroger,company
China Communications Construction,company
Shinhan Financial Group,company
Oil & Natural Gas,company
Sun Hung Kai Properties,company
Huaxia Bank,company
Fubon Financial,company
Diageo,company
Anglo American,company
Mastercard,company
Dominion Energy,company
Micron Technology,company
KB Financial Group,company
HDFC,company
LafargeHolcim,company
United Overseas Bank,company
Bank of Beijing,company
Japan Tobacco,company
Netflix,company
Centene,company
China Unicom,company
Jardine Matheson,company
Starbucks,company
American Electric,company
Sumitomo,company
Nordea Bank,company
Orix,company
TJX Cos,company
Mitsubishi Electric,company
State Street,company
SK Hynix,company
RWE Group,company
ABB,company
Nomura,company
BCE,company
Automatic Data Processing,company
HP,company
First Abu Dhabi Bank,company
EssilorLuxottica,company
Henkel,company
Canadian Natural Resources,company
Greenland Holdings Group,company
EMD Group,company
Swiss Re,company
Bank Of Shanghai,company
Archer Daniels Midland,company
Anhui Conch Cement,company
Ecopetrol,company
BT Group,company
Poste Italiane,company
Novatek,company
TC Energy,company
CRH,company
Macquarie Group,company
BBVA-Banco Bilbao Vizcaya,company
JXTG Holdings,company
Kering,company
Baoshan Iron & Steel,company
Daiwa House Industry,company
Couche Tard,company
Daimler,company
Bridgestone,company
Fannie Mae,company
Tyson Foods,company
New China Life Insurance,company
Saint-Gobain,company
CSX,company
DNB,company
Novo Nordisk,company
Saudi Telecom,company
LyondellBasell Industries,company
EOG Resources,company
Sempra Energy,company
Eaton,company
Freddie Mac,company
Heineken,company
Kweichow Moutai,company
CK Asset Holdings,company
Becton Dickinson,company
Stryker,company
CRRC,company
Bank Rakyat Indonesia (BRI),company
China Merchants Shekou Industrial Zone Holdings,company
Maybank,company
Kinder Morgan,company
Emirates NBD,company
Marsh & McLennan,company
Ameriprise Financial,company
Dollar General,company
Shin-Etsu Chemical,company
Barrick Gold,company
BP,company
Etisalat,company
Canon,company
Sompo,company
ASML Holding,company
Natixis,company
Vivendi,company
Swiss Life Holding,company
Posco,company
Biogen,company
Mitsui Fudosan,company
Canadian National Railway,company
Booking Holdings,company
NN Group,company
Fosun International,company
Wilmar International,company
General Mills,company
Carrefour,company
Daikin Industries,company
Tata Consultancy Services,company
Power Corp of Canada,company
Boston Scientific,company
Discover Financial Services,company
Synchrony Financial,company
Michelin Group,company
Paccar,company
Sumitomo Mitsui Trust,company
Xiaomi,company
Hartford Financial Services,company
Philips,company
IntercontinentalExchange,company
Norfolk Southern,company
BAE Systems,company
Indian Oil,company
Bank of Ningbo,company
Sysco,company
CNP Assurances,company
Denso,company
Newmont Mining,company
National Commercial Bank,company
Adidas,company
CTBC Financial,company
Danske Bank,company
China National Building,company
Richemont,company
Sberbank,company
VMware,company
Nippon Steel,company
Komatsu,company
Transneft,company
Talanx,company
Xcel Energy,company
Consolidated Edison,company
Naturgy Energy Group,company
Fiserv,company
Bank Of Jiangsu,company
Boeing,company
Waste Management,company
Woolworths,company
Texas Instruments,company
Hyundai Mobis,company
Adobe,company
DuPont de Nemours,company
Hana Financial Group,company
L3Harris Technologies,company
Fujitsu,company
Shimao Property Holdings,company
Norilsk Nickel,company
Imperial Brands,company
China Zheshang Bank,company
Tokyo Electric Power,company
Fast Retailing,company
Emerson Electric,company
Toyota Industries,company
Femsa,company
Hewlett Packard Enterprise,company
China Yangtze Power,company
Recruit Holdings,company
Keurig Dr Pepper,company
Applied Materials,company
Edison International,company
Principal Financial Group,company
AIRBUS,company
CME Group,company
OMV Group,company
Marubeni,company
AmerisourceBergen,company
Larsen & Toubro,company
Bouygues,company
Nutrien,company
Kansai Electric Power,company
Sherwin-Williams,company
Fujifilm Holdings,company
American Tower,company
Pernod Ricard,company
VTB Bank,company
Telstra,company
Lennar,company
Chubu Electric Power,company
Ecolab,company
Cummins,company
Marriott International,company
SEB AB,company
Investor AB,company
JBS,company
CaixaBank,company
National Bank of Canada,company
Svenska Handelsbanken,company
Vodafone,company
Sampo,company
Power Construction Corporation of China,company
Carnival,company
Eni,company
The Estée Lauder Companies,company
Fifth Third Bank,company
ViacomCBS,company
Al Rajhi Bank,company
China Fortune Land Development,company
Kimberly-Clark,company
Fortescue Metals Group,company
Public Service Enterprise Group,company
KIA Motors,company
Subaru,company
Suzuki Motor,company
Mitsubishi Heavy Industries,company
Southwest Airlines,company
Mitsubishi Estate,company
Glencore International,company
Aon,company
Ford Motor,company
Bank Central Asia,company
Thales,company
NVIDIA,company
Suning.com,company
Takeda Pharmaceutical,company
EnBW-Energie Baden,company
Valero Energy,company
Colgate-Palmolive,company
Bank Mandiri,company
H&M - Hennes & Mauritz,company
NTPC,company
Murata Manufacturing,company
SingTel,company
Las Vegas Sands,company
Magna International,company
Weichai Power,company
Fairfax Financial,company
China Tower Corp.,company
Compass Group,company
Entergy,company
Erste Group Bank,company
Toyota Tsusho,company
Citic Securities,company
Samsung C&T,company
Illinois Tool Works,company
Nissan Motor,company
FedEx,company
Vale,company
eBay,company
Wesfarmers,company
Bank of Nanjing,company
M&G,company
Asahi Group Holdings,company
Atlantia,company
DTE Energy,company
Kotak Mahindra Bank,company
Aegon,company
Carrier Global,company
United Airlines Holdings,company
Northern Trust,company
Swisscom,company
CNH Industrial,company
Kubota,company
Samsung Life Insurance,company
Best Buy,company
Haier Smart Home,company
Cognizant,company
Nintendo,company
McKesson,company
FirstRand,company
China Cinda Asset Management,company
Hengli Petrochemical,company
Tatneft,company
Tenaga Nasional,company
SK Holdings,company
Deutsche Bank,company
M&T Bank,company
Standard Bank Group,company
China Taiping Insurance,company
Telecom Italia,company
Astellas Pharma,company
Veolia Environnement,company
Grupo Mexico,company
Kyocera,company
Rogers Communications,company
Loews,company
Trane Technologies,company
Air Products & Chemicals,company
Aeon,company
Sinopharm Group,company
PPL,company
EXOR,company
RELX,company
Lincoln National,company
Allergan,company
NetEase,company
Naspers,company
Grupo ACS,company
TELUS,company
MTR,company
KeyCorp,company
Prologis,company
Evonik,company
Citizens Financial Group,company
D.R. Horton,company
Dow,company
Orsted,company
Willis Towers Watson,company
DISH Network,company
Athene Holding,company
Swedbank,company
Salesforce.com,company
Altria Group,company
Otsuka Holding,company
Eversource Energy,company
Sekisui House,company
Parker-Hannifin,company
Discovery,company
Banorte,company
Tesla,company
TD Ameritrade Holding,company
Baxter International,company
Deutsche Boerse,company
Saudi Electricity,company
Associated British Foods,company
Sumitomo Realty,company
WH Group,company
Korea Electric Power,company
Williams,company
WEC Energy Group,company
Inpex,company
Edp-energias De Portugal,company
Mitsubishi Chemical,company
Dollar Tree,company
Bharat Petroleum,company
Infosys,company
MGM Resorts,company
Kao,company
International Paper,company
CGN Power,company
Formosa Petrochemical,company
PPG,company
Swire Pacific,company
Coca-Cola European Partners,company
CSL,company
Coal India,company
Woori Financial Group,company
Daiichi Sankyo,company
SK Telecom,company
Fox,company
Crown Castle International,company
Ageas,company
Republic Services,company
Metallurgical Corp of China,company
Neste,company
Møller-Maersk,company
CBRE Group,company
International Airlines,company
Nokia,company
Omnicom Group,company
Essity Ab,company
Ross Stores,company
Industrial Bank of Korea,company
Schlumberger,company
Deutsche Lufthansa,company
Stanley Black & Decker,company
Wheelock,company
Asahi Kasei,company
Kellogg,company
SSE,company
Daqin Railway,company
Haitong Securities,company
Fidelity National Information,company
Henderson Land,company
Regions Financial,company
JFE Holdings,company
NEC,company
Capgemini,company
Repsol,company
Continental,company
Regeneron Pharmaceuticals,company
New World Development,company
Royal Caribbean Cruises,company
ArcelorMittal,company
Reckitt Benckiser Group,company
Vonovia,company
Fortis (Canada),company
Resona Holdings,company
FirstEnergy,company
Ally Financial,company
Zimmer Biomet,company
Atlas Copco,company
Lam Research,company
CLP Holdings,company
Cardinal Health,company
Activision Blizzard,company
West Japan Railway,company
Public Bank,company
WPP,company
CarMax,company
CNPC Capital,company
Simon Property Group,company
Occidental Petroleum,company
London Stock Exchange,company
Eiffage,company
TE Connectivity,company
Sodexo,company
Sumitomo Electric,company
Porsche Automobil Holding,company
Reinsurance Group of America,company
National Bank of Kuwait,company
HeidelbergCement,company
AutoZone,company
Nidec,company
Lenovo Group,company
Johnson Controls International,company
Unipol Gruppo,company
S.F. Holding,company
First Republic Bank,company
Xiamen C&D,company
Beijing-Shanghai High-Speed Railway,company
Hong Kong Exchanges,company
CIMB Group Holdings,company
WestRock,company
Telenor,company
Commerzbank,company
Siam Cement,company
Tokyo Electron,company
Dongfeng Motor Group,company
Gemdale,company
Seazen Group,company
Huatai Securities,company
Wens Foodstuff Group,company
Bharti Airtel,company
China Energy Engineering,company
Nucor,company
Sany Heavy Industry,company
Ericsson,company
Baidu,company
Kirin Holdings,company
SM Investments,company
Telkom Indonesia,company
Riyad Bank,company
Legend Holding,company
Grupo Aval,company
Ferguson,company
Uber,company
Kasikornbank,company
DP World,company
Geely Automobile Holdings,company
Credicorp,company
Isbank,company
LG Chem,company
Analog Devices,company
Guangzhou R&F,company
Eletrobrás,company
Coles Group,company
Hermès International,company
Raiffeisen Bank International,company
S&P Global,company
Axis Bank,company
Samsung Fire & Marine,company
Carlsberg,company
Mega Financial Holding,company
China Reinsurance Group,company
Grupa PZU,company
Mapfre,company
Keyence,company
Raymond James Financial,company
Hikvision,company
Thomson Reuters,company
VF,company
Aptiv,company
Conagra Brands,company
T&D Holdings,company
Canadian Pacific Railway,company
Link REIT,company
CenturyLink,company
Siam Commercial Bank,company
O'Reilly Automotive,company
CenterPoint Energy,company
Wanhua Chemical Group,company
Corteva,company
Vestas Wind Systems,company
Guotai Junan Securities,company
Shengjing Bank,company
Huntington Bank,company
Bâloise Group,company
Fortum,company
Vistra Energy,company
Roper Technologies,company
Otis Worldwide,company
Arch Capital Group,company
Shenzhen Overseas,company
CapitaLand,company
Rosseti,company
Infineon Technologies,company
Intuit,company
Formosa Chemicals,company
Kone,company
Unum,company
Wuliangye Yibin,company
Publicis Groupe,company
LG Electronics,company
Cheniere Energy,company
Huishang Bank,company
Logan Property Holdings,company
UPM-Kymmene,company
PKN Orlen,company
Abu Dhabi Commercial Bank,company
Suncorp Group,company
Zijin Mining Group,company
ZTE,company
Samba Financial Group,company
Telia,company
Kuehne & Nagel International,company
CP All,company
Teva Pharmaceutical,company
Voya Financial,company
TDK,company
DSM,company
China Coal Energy,company
George Weston,company
Bank Of Hangzhou,company
Absa Group,company
Inner Mongolia Yili,company
Secom,company
Pioneer Natural Resources,company
Hilton,company
Alexion Pharmaceuticals,company
Renault,company
Shin Kong Financial,company
Garanti Bank,company
Obayashi,company
Kuwait Finance House,company
Nan Ya Plastics,company
Ball,company
Deutsche Wohnen,company
Shaanxi Coal Industry,company
Meituan Dianping,company
Restaurant Brands International,company
Chunghwa Telecom,company
HCL Technologies,company
Ameren,company
Schindler Holding,company
Zoetis,company
Oneok,company
Saudi British Bank,company
Chongqing Rural Bank,company
Ryanair Holdings,company
BOE Technology Group,company
Idemitsu Kosan,company
Toshiba,company
Power Finance,company
Asr Nederland,company
STMicroelectronics,company
Assa Abloy,company
QBE Insurance Group,company
Equitable Holdings,company
Phoenix Group Holdings,company
CDW,company
Tata Steel,company
Hormel Foods,company
Toray Industries,company
Rakuten,company
BYD,company
Whirlpool,company
CMS Energy,company
Quanta Computer,company
Koç Holding,company
Banco de Sabadell,company
Formosa Plastics,company
Amphenol,company
Seagate Technology,company
OTP Bank,company
Luxshare Precision Industry,company
SVB Financial Group,company
Uni-President,company
Power Grid of India,company
Bank Leumi,company
DSV Panalpina,company
Hershey,company
Electronic Arts,company
Akbank,company
Hanwha,company
American Financial Group,company
Genuine Parts,company
Trip.com Group,company
Bangkok Bank,company
Bancolombia,company
United Rentals,company
China Gas Holdings,company
Global Payments,company
Fortive,company
Leonardo,company
China Jinmao,company
Equinix,company
Old Mutual,company
China Eastern Airlines,company
Freeport-McMoRan,company
Jinke Property Group,company
DaVita,company
Sandvik,company
MediaTek,company
China Gezhouba,company
RiseSun Real Estate Development,company
Intact Financial,company
Tohoku Electric Power,company
New Hope Liuhe,company
ASE Technology Holding,company
Towngas,company
Corning,company
T Rowe Price,company
Liberty Global,company
Snam,company
Equity Residential,company
Pembina Pipeline,company
Baker Hughes Company,company
NRG Energy,company
Sabanci Holding,company
NortonLifeLock,company
Shiseido,company
St. James's Place,company
Sanlam,company
Vedanta Limited,company
China National Nuclear Power,company
Expedia Group,company
Taisei,company
TransDigm Group,company
Everest Re Group,company
Sumitomo Chemical,company
Aisin Seiki,company
IQVIA,company
Pegatron,company
E.Sun Financial,company
Guangzhou Automobile Group,company
CEZ Group,company
Wipro,company
Beiersdorf,company
Guangzhou Rural Commercial Bank,company
ITC,company
CIFI Holdings Group,company
China Southern Airlines,company
Yanzhou Coal Mining,company
Nedbank,company
E-Trade Financial,company
Motorola Solutions,company
Daiwa Securities,company
Vertex Pharmaceuticals,company
Gallagher,company
Moody's,company
Western Digital,company
GF Securities,company
Akzo Nobel,company
Rolls-Royce Holdings,company
Alleghany,company
WW Grainger,company
BAIC Motor,company
Shanghai International Port,company
Stora Enso,company
Fukuoka Financial Group,company
Constellation Brands,company
SK Innovation,company
Tokyo Gas,company
Kajima,company
Air Canada,company
Dubai Islamic Bank,company
Banque Saudi Fransi,company
Itaúsa,company
Lonza Group,company
BDO Unibank,company
Joint Stock Commercial Bank for Foreign Trade of Vietnam,company
Iliad,company
First Financial Holding,company
Banco BPM,company
Shimizu,company
Aena,company
Agile Group Holdings,company
Contemporary Amperex Technology,company
Isuzu Motors,company
Legrand,company
Digital Realty Trust,company
Mazda Motor,company
Scor,company
Japan Airlines,company
Bajaj Finserv,company
Cintas,company
Intuitive Surgical,company
Chugoku Electric Power,company
Altice USA,company
CGI Group,company
PKO Bank Polski,company
Grifols,company
Sika,company
Huaneng Power International,company
Japan Exchange Group,company
Suntory Beverage & Food,company
Muyuan Foodstuff,company
Hindalco Industries,company
Sharp,company
American Airlines Group,company
Amadeus IT Group,company
Molina Healthcare,company
Novolipetsk Steel,company
Hoya,company
Yara International,company
Qatar Islamic Bank,company
Galaxy Entertainment,company
Welltower,company
China Development Financial,company
Helvetia Holding,company
China Hongqiao Group,company
Tokyu,company
Adecco,company
Emaar Properties,company
KT,company
Public Storage,company
AvalonBay Communities,company
IHS Markit,company
Taiwan Cooperative Financial,company
PG&E,company
Toppan Printing,company
Mitsubishi UFJ Lease,company
Yum! Brands,company
Turkish Airlines,company
Amcor,company
Boston Properties,company
Osaka Gas,company
Financiere de l'Odet,company
ENN Energy Holdings,company
Leidos,company
Vornado Realty,company
China Merchants Securities,company
Macy's,company
Alcon,company
EN+ Group International,company
Thai Beverage,company
Gecina,company
VakifBank,company
Edwards Lifesciences,company
ATOS,company
Skanska,company
Shanghai Pharmaceuticals,company
American Water Works,company
Halliburton,company
China Life Insurance (Taiwan),company
Arab National Bank,company
Randstad N.V.,company
KLA,company
Zhongsheng Group Holdings,company
Guosen Securities,company
Twitter,company
China Huarong Asset Management,company
Dassault Systemes,company
Polyus,company
Bank Hapoalim,company
Grupo Elektra,company
Finatis,company
NXP Semiconductors,company
Aroundtown,company
China Mengniu Dairy,company
Jiangsu Zhongnan Construction Group,company
Evergy,company
Givaudan,company
JM Smucker,company
iA Financial Corporation,company
WR Berkley,company
SMC,company
ThyssenKrupp Group,company
AMP,company
Tata Motors,company
Illumina,company
Advanced Micro Devices,company
Microchip Technology,company
Pan Pacific International Holdings,company
Shanghai Construction,company
China Resources Power,company
MOL Hungarian Oil,company
Clorox,company
Krung Thai Bank,company
Kerry Group,company
BBMG,company
Monster Beverage,company
HAL Trust,company
Severstal,company
Genworth Financial,company
Bank Negara Indonesia,company
Terumo,company
Bank of Greece,company
Eastman Chemical,company
Quest Diagnostics,company
J Sainsbury,company
Shanghai Electric Group,company
Grasim Industries,company
Eisai,company
Jefferies Financial,company
Bank of Baroda,company
Rockwell Automation,company
Ashtead Group,company
Jiangsu Hengrui Medicine,company
Rongsheng Petrochemical,company
Advanced Info Service,company
Tokyo Century,company
Align Technology,company
Charoen Pokphand Foods,company
Beijing Enterprises,company
Foshan Haitian Flavouring and Food,company
Yuanta Financial Holding,company
Mediobanca,company
Swatch Group,company
Julius Baer Group,company
Lundbergs,company
Hua Nan Financial,company
Paychex,company
Terna,company
Yango Group,company
GD Power Development,company
LabCorp,company
Sun Art Retail Group,company
Jeronimo Martins,company
Fanuc,company
Marvell Technology Group,company
China Resources Pharmaceutical Group,company
ServiceNow,company
Lear,company
Delta Electronics,company
Markel,company
TUI,company
Inter Rao,company
Air France-KLM,company
Falabella,company
SDIC Power Holdings,company
Hankyu Hanshin Holdings,company
Universal Health,company
Yum China Holdings,company
UCB,company
Metro,company
Mylan,company
PulteGroup,company
CJ Corporation,company
Investec,company
Knorr-Bremse,company
Sojitz,company
Vipshop Holdings,company
Altice Europe,company
Textron,company
Brown-Forman,company
Assurant,company
Ferrovial,company
JSW Steel,company
Olympus,company
Bank of Ireland,company
Lotte Chemical,company
LG Household & Health Care,company
AES,company
Bank Of Guiyang,company
Kyushu Electric Power,company
Alinma Bank,company
Crown Holdings,company
China Steel,company
Cadence Design,company
Kohl's,company
Bank of Tianjin,company
Shenzhen Mindray Bio-Medical Electronics,company
Vienna Insurance Group,company
Agilent Technologies,company
Cosco Shipping,company
Airports of Thailand,company
Jiangsu Yanghe Brewery,company
Fastenal,company
All Nippon Airways,company
Attijariwafa Bank,company
X5 Retail Group,company
SGS,company
LG,company
C.H. Robinson,company
Dover,company
Csc Financial,company
Interpublic Group,company
Dassault Aviation,company
NVR,company
Origin Energy,company
Ferrari,company
Waste Connections,company
Bio-Rad Laboratories,company
China Aoyuan Group,company
FleetCor Technologies,company
Comerica,company
Singapore Airlines,company
Experian,company
Kaisa Group Holdings,company
Molson Coors Brewing,company
AerCap Holdings,company
Inner Mongolia Baotou Steel,company
Ametek,company
Shionogi,company
NASDAQ,company
Shenwan Hongyuan Group,company
Bank of Changsha,company
Techtronic Industries,company
Huadian Power International,company
Aluminum Corp of China,company
Korea Gas,company
Top Frontier Investment Holdings,company
Bank Of Chengdu,company
Mitsubishi Motors,company
Scentre Group,company
Partners Group Holding,company
LKQ,company
VeriSign,company
Ulta Beauty,company
Globe Life,company
Brighthouse Financial,company
Longi Green Energy Technology,company
LARGAN Precision,company
Campbell Soup,company
McCormick,company
Anta Sports Products,company
MTN Group,company
Solvay,company
Nitori Holdings,company
Schroders,company
Mondi,company
HollyFrontier,company
GS Holdings,company
Quilter,company
Ricoh,company
China International Capital,company
Galp Energia,company
Centrica,company
Punjab National Bank,company
Yamaha Motor,company
Db Insurance,company
Franklin Resources,company
Expeditors International,company
Wolters Kluwer,company
Xilinx,company
Oriental Land,company
Goodman Group,company
Tractor Supply,company
Oji Holdings,company
Invesco,company
Lululemon Athletica,company
Samsung SDI,company
Zhongliang Holdings,company
Bankinter,company
Meiji Holdings,company
Hesteel,company
Coloplast,company
KWG Group Holdings,company
DXC Technology,company
Jiangxi Copper,company
China Resources Gas Group,company
Darden Restaurants,company
Aeroports de Paris,company
Garmin,company
Hydro One,company
Datang International Power,company
Daito Trust Construction,company
LG Display,company
Howmet Aerospace,company
Storebrand,company
Valeo,company
AntarChile,company
Bunge,company
Segro,company
NEXON,company
Ayala Corp,company
Skyworks Solutions,company
360 Security Technology,company
Canara Bank,company
Arista Networks,company
Naver,company
Saputo,company
Shanghai Commercial & Savings Bank,company
Bankia,company
Insurance Australia Group,company
Ahli United Bank,company
Transurban Group,company
Olam International,company
Halkbank,company
Mohawk Industries,company
Hexagon,company
AGC,company
J.B. Hunt Transport Services,company
Zions Bancorp,company
Hess,company
Power Assets Holdings,company
Jones Lang LaSalle,company
OMRON,company
GAIL India,company
Annaly Capital Management,company
HNA Technology,company
Masraf Al Rayan,company
Realty Income,company
KPN,company
Wuchan Zhongda Group,company
Midea Real Estate Holding,company
Sasol,company
Cosmo Energy Holdings,company
Citrix Systems,company
Copart,company
Cerner,company
Wm Morrison Supermarkets,company
Umicore,company
Brenntag,company
Metro Group,company
Check Point Software,company
Banca Mediolanum,company
Kintetsu,company
Hyundai Steel,company
Bank of Jinzhou,company
Popular,company
Yonghui Superstores,company
China Galaxy Securities,company
Shenzhou International Group Holdings,company
Fidelity National Financial,company
NetApp,company
Hyundai Marine & Fire,company
Emera,company
3i Group,company
Lotte Shopping,company
Melrose Industries,company
Bank of Chongqing,company
Mahindra & Mahindra,company
TCL,company
Korea Investment Holdings,company
BCI-Banco Credito,company
RHB Bank,company
ALFA,company
Unicharm,company
Maxim Integrated Products,company
Shinsei Bank,company
Signature Bank,company
Penske Automotive,company
Concordia Financial Group,company
Hyundai Heavy Industries Holdings,company
MSCI,company
Chiba Bank,company
Jiangsu Zhangjiagang Rural Commercial Bank,company
Verbund,company
Keysight Technologies,company
Ventas,company
Samsung SDS,company
Harbin Bank,company
Hopson Development Holdings,company
Mirae Asset Daewoo,company
SYNNEX,company
Westinghouse Air Brake Technologies,company
Church & Dwight,company
Luzhou Lao Jiao,company
Alliant Energy,company
Tenet Healthcare,company
Mizrahi Tefahot Bank,company
Sunny Optical Technology Group,company
Schaeffler,company
China Shipbuilding Industry,company
Smith & Nephew,company
Tingyi Holding,company
CJ Cheiljedang,company
Cemex,company
Woodside Petroleum,company
Spotify Technology,company
Bandai Namco Holdings,company
Doosan,company
Qantas Airways,company
Quinenco,company
Times Property Holdings,company
East West Bancorp,company
Starwood Property Trust,company
Ooredoo Q.P.S.C,company
People's United Financial,company
RenaissanceRe Holdings,company
Dentsu,company
Banco Btg Pactual,company
Bombardier,company
Celanese,company
Yunnan Baiyao Group,company
Zhongyuan Bank,company
AGL Energy,company
Jacobs Engineering,company
Cathay Pacific Airways,company
Bank of India,company
Hunan Valin Steel,company
Bausch Health Companies,company
Keppel,company
Greentown China Holdings,company
Cincinnati Financial,company
IndusInd Bank,company
BorgWarner,company
Host Hotels & Resorts,company
Canadian Tire,company
Geberit,company
Bank Pekao,company
YPF,company
Weyerhaeuser,company
Covivio,company
Old Dominion Freight Line,company
Wuestenrot & Wuerttembergische,company
Kobe Steel,company
SG Holdings,company
Ronshine China Holdings,company
Migdal Insurance,company
Packaging Corp of America,company
B3,company
Match Group,company
Smurfit Kappa Group,company
Red Eléctrica,company
VEON,company
Coca-Cola HBC,company
Fastighets Balder,company
Bank of Zhengzhou,company
SLM,company
Mebuki Financial Group,company
Tech Data,company
China Feihe,company
Aramark,company
Meritz Financial Group,company
Suzano Papel e Celulose,company
Israel Discount Bank,company
ResMed,company
China Grand Automotive Services,company
JG Summit Holdings,company
Henry Schein,company
Arkema,company
Advance Auto Parts,company
Norwegian Cruise Line Holdings,company
Bank of Guizhou,company
Burlington Stores,company
Great Wall Motor,company
Vulcan Materials,company
Alaska Air Group,company
Chow Tai Fook Jewellery,company
Hang Lung Group,company
Iida Group Holdings,company
Meritz Securities,company
